zona_codice,zona_nome
Abru-A,Bacini Tordino Vomano
Abru-B,Bacino dell'Aterno
Abru-C,Bacino del Pescara
Abru-D1,Bacino Alto del Sangro
Abru-D2,Bacino Basso del Sangro
Abru-E,Marsica
Basi-A1,Basi-A1
Basi-A2,Basi-A2
Basi-B,Basi-B
Basi-C,Basi-C
Basi-D,Basi-D
Basi-E1,Basi-E1
Basi-E2,Basi-E2
Cala-1,Versante Tirrenico Settentrionale
Cala-2,Versante Tirrenico Centro-settentrionale
Cala-3,Versante Tirrenico Centro-meridionale
Cala-4,Versante Tirrenico Meridionale
Cala-5,Versante Jonico Settentrionale
Cala-6,Versante Jonico Centro-settentrionale
Cala-7,Versante Jionico Centro-meridionale
Cala-8,Versante Jonico Meridionale
Camp-1,"Piana campana, Napoli, Isole e Area vesuviana"
Camp-2,Alto Volturno e Matese
Camp-3,"Penisola sorrentino-amalfitana, Monti di Sarno e Monti Picentini"
Camp-4,Alta Irpinia e Sannio
Camp-5,Tusciano e Alto Sele
Camp-6,Piana Sele e Alto Cilento
Camp-7,Tanagro
Camp-8,Basso Cilento
Emil-A1,Montagna romagnola
Emil-A2,Alta collina romagnola
Emil-B1,Bassa collina e pianura romagnola
Emil-B2,Costa romagnola
Emil-C1,Montagna bolognese
Emil-C2,Collina bolognese
Emil-D1,Pianura bolognese di Reno e suoi affluenti
Emil-D2,Costa ferrarese
Emil-D3,Pianura ferrarese di Po e Po di volano
Emil-E1,Montagna emiliana centrale
Emil-E2,Collina emiliana centrale
Emil-F1,Pianura modenese di Secchia e Panaro
Emil-F2,Pianura reggiana di Enza e Crostolo
Emil-F3,Pianura reggiana di Po
Emil-G1,Alta collina piacentino-parmense
Emil-G2,Montagna piacentino-parmense
Emil-H1,Bassa collina piacentino-parmense
Emil-H2,Pianura piacentino-parmense
Friu-A,Bacino del Livenza e del Lemene
Friu-B,Bacino montano del Tagliamento e del Torre
Friu-C,Bacino dell'Isonzo e Pianura di Udine e Gorizia
Friu-D,Bacino di Levante / Carso
Lazi-A,Bacini Costieri Nord
Lazi-B,Bacino Medio Tevere
Lazi-C,Appennino di Rieti
Lazi-D,Bacini di Roma
Lazi-E,Aniene
Lazi-F,Bacini Costieri Sud
Lazi-G,Bacino del Liri
Ligu-A,Bacini Liguri Marittimi di Ponente
Ligu-B,Bacini Liguri Marittimi di Centro
Ligu-C,Bacini Liguri Marittimi di Levante
Ligu-D,Bacini Liguri Padani di Ponente
Ligu-E,Bacini Liguri Padani di Levante
Lomb-01,Valchiavenna
Lomb-02,Media-bassa Valtellina
Lomb-03,Alta Valtellina
Lomb-04,Laghi e Prealpi Varesine
Lomb-05,Lario e Prealpi occidentali
Lomb-06,Orobie bergamasche
Lomb-07,Valcamonica
Lomb-08,Laghi e Prealpi orientali
Lomb-09,Nodo Idraulico di Milano
Lomb-10,Pianura centrale
Lomb-11,Alta pianura orientale
Lomb-12,Bassa pianura occidentale
Lomb-13,Bassa pianura centro-occidentale
Lomb-14,Bassa pianura centro-orientale
Lomb-15,Bassa pianura orientale
Lomb-16,Appennino pavese
Marc-1,Marc-1
Marc-2,Marc-2
Marc-3,Marc-3
Marc-4,Marc-4
Marc-5,Marc-5
Marc-6,Marc-6
Moli-A,Alto Volturno - Medio Sangro
Moli-B,Frentani - Sannio - Matese
Moli-C,Litoranea
Piem-A,Toce
Piem-B,"Val Sesia, Cervo e Chiusella"
Piem-C,"Valli Orco, Lanzo e Sangone"
Piem-D,"Valli Susa, Chisone, Pellice e Po"
Piem-E,"Valli Varaita, Maira e Stura"
Piem-F,Valle Tanaro
Piem-G,Belbo e Bormida
Piem-H,Scrivia
Piem-I,Pianura settentrionale
Piem-L,Pianura Torinese e Colline
Piem-M,Pianura Cuneese
Pugl-A,Gargano e Tremiti
Pugl-B,"Tavoliere - bassi bacini del Candelaro, Cervaro e Carapelle"
Pugl-C,Puglia Centrale Adriatica
Pugl-D,Salento
Pugl-E,Bacini del Lato e del Lenne
Pugl-F,Puglia Centrale Bradanica
Pugl-G,Basso Ofanto
Pugl-H,Sub-Appennino Dauno
Pugl-I,Basso Fortore
