pro_com_t,comune_nome,provincia_nome,provincia_sigla,regione_nome,zona_codice,zona_nome
001001,Agliè,Torino,TO,Piemonte,Piem-L,Pianura Torinese e Colline
001002,Airasca,Torino,TO,Piemonte,Piem-L,Pianura Torinese e Colline
001003,Ala di Stura,Torino,TO,Piemonte,Piem-C,"Valli Orco, Lanzo e Sangone"
001004,Albiano d'Ivrea,Torino,TO,Piemonte,Piem-I,Pianura settentrionale
001006,Almese,Torino,TO,Piemonte,Piem-L,Pianura Torinese e Colline
001007,Alpette,Torino,TO,Piemonte,Piem-C,"Valli Orco, Lanzo e Sangone"
001008,Alpignano,Torino,TO,Piemonte,Piem-L,Pianura Torinese e Colline
001009,Andezeno,Torino,TO,Piemonte,Piem-L,Pianura Torinese e Colline
001010,Andrate,Torino,TO,Piemonte,Piem-B,"Val Sesia, Cervo e Chiusella"
001011,Angrogna,Torino,TO,Piemonte,Piem-D,"Valli Susa, Chisone, Pellice e Po"
001012,Arignano,Torino,TO,Piemonte,Piem-L,Pianura Torinese e Colline
001013,Avigliana,Torino,TO,Piemonte,Piem-L,Pianura Torinese e Colline
001014,Azeglio,Torino,TO,Piemonte,Piem-I,Pianura settentrionale
001015,Bairo,Torino,TO,Piemonte,Piem-L,Pianura Torinese e Colline
001016,Balangero,Torino,TO,Piemonte,Piem-L,Pianura Torinese e Colline
001017,Baldissero Canavese,Torino,TO,Piemonte,Piem-I,Pianura settentrionale
001018,Baldissero Torinese,Torino,TO,Piemonte,Piem-L,Pianura Torinese e Colline
001019,Balme,Torino,TO,Piemonte,Piem-C,"Valli Orco, Lanzo e Sangone"
001020,Banchette,Torino,TO,Piemonte,Piem-I,Pianura settentrionale
001021,Barbania,Torino,TO,Piemonte,Piem-L,Pianura Torinese e Colline
001022,Bardonecchia,Torino,TO,Piemonte,Piem-D,"Valli Susa, Chisone, Pellice e Po"
001023,Barone Canavese,Torino,TO,Piemonte,Piem-L,Pianura Torinese e Colline
001024,Beinasco,Torino,TO,Piemonte,Piem-L,Pianura Torinese e Colline
001025,Bibiana,Torino,TO,Piemonte,Piem-M,Pianura Cuneese
001026,Bobbio Pellice,Torino,TO,Piemonte,Piem-D,"Valli Susa, Chisone, Pellice e Po"
001027,Bollengo,Torino,TO,Piemonte,Piem-I,Pianura settentrionale
001028,Borgaro Torinese,Torino,TO,Piemonte,Piem-L,Pianura Torinese e Colline
